id,latitude,longitude,name
ASN00008304,-28.9571,114.9492,"MOASCAR"
ASN00008305,-29.2778,114.9464,"PORT DENISON"
ASN00008307,-28.8900,115.4397,"COOLANGATTA ALERT"
ASN00008308,-28.8000,115.7600,"TARDUN HILL"
ASN00008309,-29.3000,115.6597,"BELLENDAINE"
ASN00008310,-29.0291,115.5548,"SOUTH HOLMWOOD ALERT"
ASN00009000,-32.1247,116.1025,"ARALUEN"
ASN00009006,-30.6256,115.7803,"CHELSEA"
ASN00009007,-31.8622,116.2658,"CHIDLOW"
ASN00009009,-31.6050,116.1114,"LOWER CHITTERING"
ASN00009014,-30.6969,115.5817,"DANDARAGAN WEST"
ASN00009015,-32.0892,116.1250,"KARRAGULLEN NORTH"
ASN00009018,-31.3461,115.9031,"GINGIN"
ASN00009021,-31.9275,115.9764,"PERTH AIRPORT"
ASN00009023,-32.3342,116.0755,"JARRAHDALE"
ASN00009024,-31.5608,116.0842,"MARBLING"
ASN00009030,-31.8972,116.1575,"MUNDARING"
ASN00009033,-30.9719,116.2089,"NEW NORCIA"
ASN00009037,-30.3381,115.5394,"BADGINGARRA RESEARCH STN"
ASN00009039,-32.3536,116.0050,"SERPENTINE"
ASN00009040,-31.1428,116.0539,"WANNAMAL"
ASN00009053,-31.6669,116.0189,"PEARCE RAAF"
ASN00009066,-31.7908,116.1975,"GIDGEGANNUP"
ASN00009105,-31.7317,115.7931,"WANNEROO"
ASN00009106,-32.0486,115.9839,"GOSNELLS CITY"
ASN00009111,-32.4400,116.0744,"KARNET"
ASN00009112,-31.3928,116.0875,"BINDOON"
ASN00009113,-32.1108,116.0953,"ROLEYSTONE"
ASN00009131,-30.3081,115.0311,"JURIEN BAY"
ASN00009144,-31.0769,115.5083,"BARAMBA"
ASN00009147,-31.3292,116.0811,"MOOLIABEENEE"
ASN00009151,-31.9556,115.7928,"SUBIACO TREATMENT PLANT"
ASN00009168,-32.1189,116.1206,"KARRAGULLEN"
ASN00009172,-32.1011,115.8794,"JANDAKOT AERO"
